2026-09-19T17:57:46+00:00 watchdog v2 start pid 477222 guarding ^/bin/bash /root/night-20260919/serve[.]sh (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/step2b-cram-smc.log)
2026-09-19T17:57:46+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0
2026-09-19T18:03:30+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:927W
2026-09-19T18:03:35+00:00 card0:1000MHz/9%/0 card1:1730MHz/66%/0 card2:1730MHz/98%/0 card3:1730MHz/99%/0 DC:904W
2026-09-19T18:03:40+00:00 card0:1000MHz/9%/0 card1:1000MHz/3%/0 card2:1000MHz/2%/0 card3:1000MHz/0%/0 DC:628W
2026-09-19T18:03:45+00:00 card0:1540MHz/100%/0 card1:1540MHz/100%/0 card2:1730MHz/100%/0 card3:1674MHz/100%/0 DC:1003W
2026-09-19T18:03:50+00:00 card0:1608MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1608MHz/100%/0 DC:976W
2026-09-19T18:03:55+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:1090W
2026-09-19T18:04:00+00:00 card0:1730MHz/100%/0 card1:1674MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:999W
2026-09-19T18:04:05+00:00 card0:1540MHz/100%/0 card1:1608MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:1093W
2026-09-19T18:04:10+00:00 card0:1730MHz/100%/0 card1:1000MHz/11%/0 card2:1730MHz/34%/0 card3:1730MHz/97%/0 DC:950W
2026-09-19T18:04:15+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1000MHz/21%/0 card3:1730MHz/1%/0 DC:955W
2026-09-19T18:04:20+00:00 card0:1730MHz/99%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:952W
2026-09-19T18:04:25+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:952W
2026-09-19T18:04:30+00:00 card0:1730MHz/56%/0 card1:1730MHz/98%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:959W
2026-09-19T18:04:35+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:953W
2026-09-19T18:04:40+00:00 card0:1730MHz/100%/0 card1:1000MHz/31%/1 card2:1730MHz/6%/0 card3:1730MHz/94%/0 DC:956W
2026-09-19T18:04:45+00:00 card0:1540MHz/100%/0 card1:1674MHz/100%/0 card2:1730MHz/100%/0 card3:1608MHz/100%/0 DC:971W
2026-09-19T18:04:50+00:00 card0:1674MHz/100%/0 card1:1540MHz/100%/0 card2:1540MHz/100%/0 card3:1608MHz/100%/0 DC:1088W
2026-09-19T18:04:55+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1000MHz/96%/1 DC:976W
2026-09-19T18:05:00+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:1082W
2026-09-19T18:05:05+00:00 card0:1730MHz/17%/0 card1:1730MHz/17%/0 card2:1730MHz/16%/0 card3:1730MHz/17%/0 DC:975W
2026-09-19T18:05:10+00:00 card0:1000MHz/91%/1 card1:1730MHz/2%/0 card2:1730MHz/86%/0 card3:1730MHz/99%/0 DC:859W
2026-09-19T18:05:16+00:00 card0:1730MHz/100%/0 card1:1674MHz/100%/0 card2:1000MHz/9%/0 card3:1730MHz/8%/0 DC:962W
2026-09-19T18:05:21+00:00 card0:1000MHz/8%/0 card1:1730MHz/72%/0 card2:1730MHz/98%/0 card3:1730MHz/99%/0 DC:958W
2026-09-19T18:05:26+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:952W
2026-09-19T18:05:31+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1000MHz/83%/1 card3:1730MHz/3%/0 DC:961W
2026-09-19T18:05:36+00:00 card0:1730MHz/100%/0 card1:1000MHz/100%/1 card2:1730MHz/2%/0 card3:1730MHz/86%/0 DC:960W
2026-09-19T18:05:41+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:961W
2026-09-19T18:05:46+00:00 card0:1730MHz/99%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:958W
2026-09-19T18:05:51+00:00 card0:1540MHz/100%/0 card1:1540MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:354W
2026-09-19T18:05:56+00:00 card0:1730MHz/100%/0 card1:1608MHz/100%/0 card2:1608MHz/100%/0 card3:1730MHz/100%/0 DC:973W
2026-09-19T18:06:01+00:00 card0:1730MHz/100%/0 card1:1540MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:1020W
2026-09-19T18:06:06+00:00 card0:1608MHz/100%/0 card1:1540MHz/100%/0 card2:1540MHz/100%/0 card3:1608MHz/100%/0 DC:1035W
2026-09-19T18:06:11+00:00 card0:1730MHz/100%/0 card1:1608MHz/100%/0 card2:1608MHz/100%/0 card3:1674MHz/100%/0 DC:1089W
2026-09-19T18:06:16+00:00 card0:1730MHz/100%/0 card1:1000MHz/100%/1 card2:1000MHz/4%/0 card3:1730MHz/76%/0 DC:894W
2026-09-19T18:06:21+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:957W
2026-09-19T18:06:26+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:961W
2026-09-19T18:06:31+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:962W
2026-09-19T18:06:36+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:964W
2026-09-19T18:06:41+00:00 card0:1608MHz/100%/0 card1:1540MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:384W
2026-09-19T18:06:46+00:00 card0:1730MHz/100%/0 card1:1608MHz/100%/0 card2:1608MHz/100%/0 card3:1540MHz/100%/0 DC:1051W
2026-09-19T18:06:51+00:00 card0:1540MHz/100%/0 card1:1540MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:1088W
2026-09-19T18:06:56+00:00 card0:1674MHz/100%/0 card1:1445MHz/100%/0 card2:1608MHz/100%/0 card3:1730MHz/100%/0 DC:995W
2026-09-19T18:07:01+00:00 card0:1730MHz/99%/0 card1:1730MHz/80%/0 card2:1730MHz/98%/0 card3:1730MHz/99%/0 DC:1089W
2026-09-19T18:07:07+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1730MHz/64%/0 card3:1730MHz/98%/0 DC:942W
2026-09-19T18:07:12+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:966W
2026-09-19T18:07:17+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:968W
2026-09-19T18:07:22+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:965W
2026-09-19T18:07:27+00:00 card0:1000MHz/46%/1 card1:1730MHz/6%/0 card2:1730MHz/95%/0 card3:1730MHz/99%/0 DC:923W
2026-09-19T18:07:32+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:962W
2026-09-19T18:07:37+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:967W
2026-09-19T18:07:42+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:966W
2026-09-19T18:07:47+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:966W
2026-09-19T18:07:52+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:968W
2026-09-19T18:07:57+00:00 card0:1000MHz/22%/0 card1:1730MHz/19%/0 card2:1730MHz/97%/0 card3:1730MHz/99%/0 DC:966W
2026-09-19T18:08:02+00:00 card0:1000MHz/69%/1 card1:1730MHz/3%/0 card2:1730MHz/81%/0 card3:1730MHz/99%/0 DC:965W
2026-09-19T18:08:07+00:00 card0:1000MHz/49%/2 card1:1730MHz/7%/0 card2:1730MHz/94%/0 card3:1730MHz/99%/0 DC:968W
2026-09-19T18:08:12+00:00 card0:1730MHz/89%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:963W
2026-09-19T18:08:17+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:968W
2026-09-19T18:08:22+00:00 card0:1674MHz/100%/0 card1:1000MHz/11%/0 card2:1730MHz/9%/0 card3:1730MHz/97%/0 DC:744W
2026-09-19T18:08:27+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:963W
2026-09-19T18:08:32+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:966W
2026-09-19T18:08:37+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1000MHz/64%/1 DC:941W
2026-09-19T18:08:42+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:921W
2026-09-19T18:08:47+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:966W
2026-09-19T18:08:52+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:964W
2026-09-19T18:08:58+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:937W
2026-09-19T18:09:03+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1000MHz/78%/1 card3:1000MHz/4%/0 DC:967W
2026-09-19T18:09:08+00:00 card0:1730MHz/99%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:969W
2026-09-19T18:09:13+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:940W
2026-09-19T18:09:18+00:00 card0:1730MHz/81%/0 card1:1730MHz/75%/0 card2:1730MHz/94%/0 card3:1730MHz/73%/0 DC:968W
2026-09-19T18:09:23+00:00 card0:1000MHz/42%/1 card1:1730MHz/2%/0 card2:1730MHz/90%/0 card3:1730MHz/99%/0 DC:965W
2026-09-19T18:09:28+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:772W
2026-09-19T18:09:33+00:00 card0:1000MHz/18%/0 card1:1730MHz/44%/0 card2:1730MHz/96%/0 card3:1730MHz/99%/0 DC:961W
2026-09-19T18:09:38+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1608MHz/100%/0 card3:1000MHz/12%/0 DC:943W
2026-09-19T18:09:43+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:387W
2026-09-19T18:09:48+00:00 card0:1730MHz/100%/0 card1:1608MHz/100%/0 card2:1674MHz/100%/0 card3:1540MHz/100%/0 DC:340W
2026-09-19T18:09:53+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1000MHz/82%/1 card3:1000MHz/5%/0
2026-09-19T18:09:58+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:962W
2026-09-19T18:10:03+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:924W
2026-09-19T18:10:08+00:00 card0:1730MHz/99%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:962W
2026-09-19T18:10:13+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:962W
2026-09-19T18:10:18+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:942W
2026-09-19T18:10:23+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:957W
2026-09-19T18:10:28+00:00 card0:1000MHz/9%/0 card1:1730MHz/42%/0 card2:1730MHz/98%/0 card3:1730MHz/99%/0 DC:965W
2026-09-19T18:10:33+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:964W
2026-09-19T18:10:38+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1000MHz/11%/0 DC:963W
2026-09-19T18:10:43+00:00 card0:1000MHz/8%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1730MHz/0%/0 DC:336W
2026-09-19T18:10:49+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:961W
2026-09-19T18:10:54+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:960W
2026-09-19T18:10:59+00:00 card0:1730MHz/97%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:960W
2026-09-19T18:11:04+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:958W
2026-09-19T18:11:09+00:00 card0:1730MHz/6%/0 card1:1730MHz/93%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:962W
2026-09-19T18:11:14+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:963W
2026-09-19T18:11:19+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:955W
2026-09-19T18:11:24+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:797W
2026-09-19T18:11:29+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:961W
2026-09-19T18:11:34+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:964W
2026-09-19T18:11:39+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:942W
2026-09-19T18:11:44+00:00 card0:1000MHz/23%/0 card1:1730MHz/7%/0 card2:1730MHz/90%/0 card3:1730MHz/99%/0 DC:961W
2026-09-19T18:11:49+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:600W
2026-09-19T18:11:54+00:00 card0:1730MHz/100%/0 card1:1000MHz/37%/1 card2:1730MHz/2%/0 card3:1730MHz/85%/0 DC:960W
2026-09-19T18:11:59+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1000MHz/65%/1 DC:940W
2026-09-19T18:12:04+00:00 card0:1000MHz/12%/0 card1:1730MHz/62%/0 card2:1730MHz/97%/0 card3:1730MHz/99%/0 DC:961W
2026-09-19T18:12:09+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:964W
2026-09-19T18:12:14+00:00 card0:1730MHz/75%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:943W
