2026-09-19T15:17:45+00:00 watchdog v2 start pid 259565 guarding ^/bin/bash /root/night-20260919/serve[.]sh (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/step2-chat-smc.log)
2026-09-19T15:17:45+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0
2026-09-19T15:26:20+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:960W
2026-09-19T15:26:25+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:938W
2026-09-19T15:26:30+00:00 card0:1730MHz/69%/0 card1:1730MHz/98%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:961W
2026-09-19T15:26:35+00:00 card0:1730MHz/95%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:939W
2026-09-19T15:26:40+00:00 card0:1730MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:1086W
2026-09-19T15:26:45+00:00 card0:1540MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1608MHz/100%/0 DC:1088W
2026-09-19T15:26:50+00:00 card0:1540MHz/100%/0 card1:1540MHz/100%/0 card2:1608MHz/100%/0 card3:1730MHz/100%/0 DC:1008W
2026-09-19T15:26:55+00:00 card0:1540MHz/100%/0 card1:1730MHz/100%/0 card2:1674MHz/100%/0 card3:1608MHz/100%/0 DC:1020W
2026-09-19T15:27:00+00:00 card0:1730MHz/100%/0 card1:1540MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:838W
2026-09-19T15:27:05+00:00 card0:1730MHz/99%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:952W
2026-09-19T15:27:10+00:00 card0:1730MHz/76%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:967W
2026-09-19T15:27:15+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:967W
2026-09-19T15:27:20+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:963W
2026-09-19T15:27:25+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:961W
2026-09-19T15:27:31+00:00 card0:1730MHz/44%/0 card1:1730MHz/98%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:962W
2026-09-19T15:27:36+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:967W
2026-09-19T15:27:41+00:00 card0:1730MHz/53%/0 card1:1730MHz/98%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:963W
2026-09-19T15:27:46+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:966W
2026-09-19T15:27:51+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:965W
2026-09-19T15:27:56+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:965W
2026-09-19T15:28:01+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:965W
2026-09-19T15:28:06+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:965W
2026-09-19T15:28:11+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1674MHz/100%/0 DC:964W
2026-09-19T15:28:16+00:00 card0:1730MHz/5%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:964W
2026-09-19T15:28:21+00:00 card0:1730MHz/90%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:959W
2026-09-19T15:28:26+00:00 card0:1730MHz/63%/0 card1:1730MHz/98%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:964W
2026-09-19T15:28:31+00:00 card0:1730MHz/10%/0 card1:1730MHz/93%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:965W
2026-09-19T15:28:36+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:965W
2026-09-19T15:28:41+00:00 card0:1730MHz/74%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:963W
2026-09-19T15:28:46+00:00 card0:1730MHz/100%/0 card1:1000MHz/26%/0 card2:1730MHz/1%/0 card3:1730MHz/95%/0 DC:967W
2026-09-19T15:28:51+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:967W
2026-09-19T15:28:56+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:967W
2026-09-19T15:29:01+00:00 card0:1000MHz/11%/0 card1:1730MHz/58%/0 card2:1730MHz/97%/0 card3:1730MHz/99%/0 DC:966W
2026-09-19T15:29:06+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:968W
2026-09-19T15:29:11+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:966W
2026-09-19T15:29:16+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:964W
2026-09-19T15:29:22+00:00 card0:1000MHz/1%/0 card1:1000MHz/6%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:967W
2026-09-19T15:29:27+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:943W
2026-09-19T15:29:32+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1000MHz/100%/1 card3:1000MHz/5%/0 DC:964W
2026-09-19T15:29:37+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:955W
2026-09-19T15:29:42+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:965W
2026-09-19T15:29:47+00:00 card0:1730MHz/81%/0 card1:1730MHz/86%/0 card2:1000MHz/5%/0 card3:1000MHz/0%/0 DC:1088W
2026-09-19T15:29:52+00:00 card0:1730MHz/19%/0 card1:1730MHz/18%/0 card2:1730MHz/18%/0 card3:1730MHz/15%/0 DC:959W
2026-09-19T15:29:57+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:962W
2026-09-19T15:30:02+00:00 card0:1730MHz/19%/0 card1:1730MHz/18%/0 card2:1730MHz/19%/0 card3:1730MHz/18%/0 DC:961W
2026-09-19T15:30:07+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:959W
2026-09-19T15:30:12+00:00 card0:1730MHz/19%/0 card1:1730MHz/19%/0 card2:1730MHz/18%/0 card3:1730MHz/18%/0 DC:963W
2026-09-19T15:30:17+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:959W
2026-09-19T15:30:22+00:00 card0:1730MHz/97%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:934W
2026-09-19T15:30:27+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:961W
2026-09-19T15:30:32+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1000MHz/51%/1 DC:961W
2026-09-19T15:30:37+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:966W
2026-09-19T15:30:42+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:407W
2026-09-19T15:30:47+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:965W
2026-09-19T15:30:52+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:965W
2026-09-19T15:30:57+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:961W
2026-09-19T15:31:02+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1000MHz/35%/1 DC:959W
2026-09-19T15:31:07+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:955W
2026-09-19T15:31:13+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:963W
2026-09-19T15:31:18+00:00 card0:1000MHz/4%/0 card1:1000MHz/1%/0 card2:1000MHz/2%/0 card3:1000MHz/0%/0 DC:959W
2026-09-19T15:31:23+00:00 card0:1730MHz/92%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:955W
2026-09-19T15:31:28+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:962W
2026-09-19T15:31:33+00:00 card0:1730MHz/95%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:962W
2026-09-19T15:31:38+00:00 card0:1730MHz/89%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:960W
2026-09-19T15:31:43+00:00 card0:1730MHz/7%/0 card1:1730MHz/0%/0 card2:1000MHz/1%/0 card3:1000MHz/0%/0 DC:961W
2026-09-19T15:31:48+00:00 card0:1730MHz/90%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:1091W
2026-09-19T15:31:53+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:958W
2026-09-19T15:31:58+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:964W
2026-09-19T15:32:03+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:960W
2026-09-19T15:32:08+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:959W
